timestamp,input_text,predicted_label,predicted_prob,user_label
2025-11-28T14:49:18.261097,New study proves that drinking coffee cures diabetes.,uncertain,0.5000,fake
2025-11-28T15:05:20.859687,duterte is dead in the icc,real,0.5000,fake
2025-11-28T16:03:19.946294,mindanao has no internet,real,1.0000,fake
2025-11-29T13:04:36.646485,"apan recently recounted its islands — and found 7,000 more than anyone realized 🌊.
A new digital survey by the Geospatial Information Authority of Japan identified 14,125 islands, more than double the long-used count of 6,852 from a 1987 Coast Guard report.

The difference isn’t new land. It’s better tech. High-resolution satellite imaging and advanced mapping software can now spot and measure small landmasses that older surveys either missed or lumped together 🛰️.
2025-11-30T05:41:13.913594,typhoon uwan,fake,0.2984
2025-11-30T05:41:14.227675,typhoon uwan,fake,0.2984
2025-11-30T06:19:05.015509,"Dagsa na ang mga makikiisa sa Trillion Peso March sa People Power Monument sa Quezon City bandang 9:30 a.m. ngayong Linggo, November 30, 2025. Nagsimula na rin ang programa sa lugar.",fake,0.2279
2025-11-30T06:19:08.292595,"Dagsa na ang mga makikiisa sa Trillion Peso March sa People Power Monument sa Quezon City bandang 9:30 a.m. ngayong Linggo, November 30, 2025. Nagsimula na rin ang programa sa lugar.",fake,0.2279
2025-11-30T06:34:31.745476,"Massive cleanup efforts began in southern Thailand today, after the prime minister apologised for widespread devastation caused by the worst flooding in years.

Heavy monsoon rain overwhelmed parts of Thailand, Malaysia and Indonesia this week, killing more than 300 people and leaving thousands stranded, many on rooftops awaiting rescue.",fake,0.0692
2025-11-30T06:34:34.638334,"Massive cleanup efforts began in southern Thailand today, after the prime minister apologised for widespread devastation caused by the worst flooding in years.

Heavy monsoon rain overwhelmed parts of Thailand, Malaysia and Indonesia this week, killing more than 300 people and leaving thousands stranded, many on rooftops awaiting rescue.",fake,0.0692
2025-11-30T06:36:36.347998,"A Luxembourg elementary school teacher and Bosnian genocide survivor has been dismissed from her position after the Ministry of National Education ruled that her Instagram posts in support of Gaza constituted ""antisemitic expression"".",real,0.5000
2025-11-30T06:36:54.328172,"A Luxembourg elementary school teacher and Bosnian genocide survivor has been dismissed from her position after the Ministry of National Education ruled that her Instagram posts in support of Gaza constituted ""antisemitic expression"".",real,0.5000
2025-11-30T06:37:23.118872,"“LAHAT NG SANGKOT, DAPAT MANAGOT!”

Dumating na sa Luneta ang iba-ibang grupo na nagmartsa mula sa bahagi ng Kalaw Avenue sa Maynila para makiisa sa Baha sa Luneta 2.0 rally ngayong Linggo, Nob. 30.",real,0.5000
2025-11-30T06:37:41.405511,"“LAHAT NG SANGKOT, DAPAT MANAGOT!”

Dumating na sa Luneta ang iba-ibang grupo na nagmartsa mula sa bahagi ng Kalaw Avenue sa Maynila para makiisa sa Baha sa Luneta 2.0 rally ngayong Linggo, Nob. 30.",real,0.5000
2025-11-30T06:38:18.319453,Mindanao has no internet,real,0.5000
2025-11-30T06:38:33.173592,Mindanao has no internet,real,0.5000
2025-11-30T07:18:32.499374,"Sa loob lang ng sampung minuto, ang 100 ay naging 20,000",real,0.6788
2025-11-30T07:18:54.884215,"Sa loob lang ng sampung minuto, ang 100 ay naging 20,000",real,0.6788
2025-11-30T07:19:15.218364,"Nasa Recto Avenue, Maynila ang grupong BAYAN na nagmartsa mula sa Luneta.

Hindi na sila nakalusot patungo sa Mendiola dahil sa hinarang na sila ng mga pulis. | via Dennis Datu, ABS-CBN News",real,0.6691
2025-11-30T07:19:32.069816,"Nasa Recto Avenue, Maynila ang grupong BAYAN na nagmartsa mula sa Luneta.

Hindi na sila nakalusot patungo sa Mendiola dahil sa hinarang na sila ng mga pulis. | via Dennis Datu, ABS-CBN News",real,0.6691
2025-11-30T07:19:48.525906,jflrjfjjfwjopefhc,real,0.7398
2025-11-30T07:19:59.551544,jflrjfjjfwjopefhc,real,0.7398
2025-11-30T07:32:43.920150,fuck you,real,0.0200
2025-11-30T07:36:28.621205,fuck you,real,0.0200
2025-11-30T07:37:31.045798,Facebook is banned in the Philippines,fake,0.7803
2025-11-30T07:37:37.729170,Facebook is banned in the Philippines,fake,0.7803
2025-11-30T07:38:40.811741,former president duterte died in icc,fake,0.9800
2025-11-30T07:38:49.320554,former president duterte died in icc,fake,0.9800
2025-11-30T07:41:13.003350,Nasa 500 residente mula sa iba't ibang bayan ng Bulacan ang nag-martsa mula Kapitolyo hanggang Malolos Crossing para manawagan na panagutin ang mga sangkot sa maanomalyang flood control projects sa probinsya. | via Dabet Panelo,fake,0.6918
2025-11-30T07:41:26.327606,Nasa 500 residente mula sa iba't ibang bayan ng Bulacan ang nag-martsa mula Kapitolyo hanggang Malolos Crossing para manawagan na panagutin ang mga sangkot sa maanomalyang flood control projects sa probinsya. | via Dabet Panelo,fake,0.6918
2025-11-30T07:42:14.538508,"Phivolcs issued an apology for the incorrect earthquake information posted Friday evening, November 28, 2025, attributing the false alert to a ""system error.""

Earlier, the agency posted a bulletin reporting a magnitude 7.5 earthquake near Caraga, Davao Oriental, but has since taken down the post.",fake,0.7334
2025-11-30T07:42:22.176548,"Phivolcs issued an apology for the incorrect earthquake information posted Friday evening, November 28, 2025, attributing the false alert to a ""system error.""

Earlier, the agency posted a bulletin reporting a magnitude 7.5 earthquake near Caraga, Davao Oriental, but has since taken down the post.",fake,0.7334
2025-11-30T07:42:42.479734,"Phivolcs issued an apology for the incorrect earthquake information posted Friday evening, November 28, 2025, attributing the false alert to a ""system error.""",fake,0.7065
2025-11-30T07:42:56.847431,"Phivolcs issued an apology for the incorrect earthquake information posted Friday evening, November 28, 2025, attributing the false alert to a ""system error.""",fake,0.7065
2025-11-30T07:43:32.173234,"Phivolcs issued an apology for the incorrect earthquake information posted Friday evening,",fake,0.7621
2025-11-30T07:43:36.055300,"Phivolcs issued an apology for the incorrect earthquake information posted Friday evening,",fake,0.7621
2025-11-30T07:44:44.370080,"Inaalala natin ngayong araw ang kagitingan ng Supremo ng Katipunan, si Andres Bonifacio.",fake,0.7320
2025-11-30T07:44:47.945643,"Inaalala natin ngayong araw ang kagitingan ng Supremo ng Katipunan, si Andres Bonifacio.",fake,0.7320
2025-11-30T07:45:32.356291,Typhoon Uwan landed in the Philippines,fake,0.6433
2025-11-30T07:45:35.905015,Typhoon Uwan landed in the Philippines,fake,0.6433
2025-11-30T07:46:07.886383,Typhoon Uwan,fake,0.7194
2025-11-30T07:46:11.576965,Typhoon Uwan,fake,0.7194
2025-11-30T07:48:19.411555,"Protesters are back on the street this Sunday, two months since groups gathered at the People Power Monument and Luneta Park to condemn corruption.",fake,0.6284
2025-11-30T07:48:28.520432,"Protesters are back on the street this Sunday, two months since groups gathered at the People Power Monument and Luneta Park to condemn corruption.",fake,0.6284
2025-11-30T08:19:45.691184,"Sri Lanka has made an appeal for international assistance as the death toll from heavy rains and floods triggered by Cyclone Ditwah rose to 132, with another 176 reported missing.⁠
.⁠",fake,0.4704
2025-11-30T08:19:50.794465,"Sri Lanka has made an appeal for international assistance as the death toll from heavy rains and floods triggered by Cyclone Ditwah rose to 132, with another 176 reported missing.⁠
.⁠",fake,0.4704
2025-11-30T08:21:21.587110,Former president Duterte died in icc,fake,0.9800
2025-11-30T08:21:29.787231,Former president Duterte died in icc,fake,0.9800
2025-11-30T08:22:30.572887,Michael Jackson is alive,fake,0.9800
2025-11-30T08:22:36.437686,Michael Jackson is alive,fake,0.9800
2025-11-30T08:23:10.753124,Michael Jackson is dead,fake,0.9800
2025-11-30T08:23:14.324450,Michael Jackson is dead,fake,0.9800
2025-11-30T08:23:44.018743,Michael Jackson is dead,fake,0.9800
2025-11-30T08:23:48.332880,Michael Jackson is dead,fake,0.9800
2025-11-30T08:25:06.314620,"Dumating si DILG Sec. Jonvic Remulla sa Recto, Maynila para imonitor ang nagaganap na protesta. | via Dennis Datu, ABS-CBN News",fake,0.5326
2025-11-30T08:25:16.099331,"Dumating si DILG Sec. Jonvic Remulla sa Recto, Maynila para imonitor ang nagaganap na protesta. | via Dennis Datu, ABS-CBN News",fake,0.5326
2025-11-30T08:25:50.293967,"Dumating si DILG Sec. Jonvic Remulla sa Recto, Maynila para imonitor ang nagaganap na protesta.",fake,0.5389
2025-11-30T08:26:00.140878,"Dumating si DILG Sec. Jonvic Remulla sa Recto, Maynila para imonitor ang nagaganap na protesta.",fake,0.5389
2025-11-30T08:43:18.914983,"Seven Indonesian domestic helpers have died in the fire, according to the Consulate General of Indonesia in Hong Kong.",fake,0.8261
2025-11-30T08:43:26.334418,"Seven Indonesian domestic helpers have died in the fire, according to the Consulate General of Indonesia in Hong Kong.",fake,0.8261
2025-11-30T09:00:29.534788,BREAKING Christian News: Pope Leo’s Mosque Visit Explodes Into Global Controversy After He Refuses to Pray Inside,fake,0.8406
2025-11-30T09:00:37.018168,BREAKING Christian News: Pope Leo’s Mosque Visit Explodes Into Global Controversy After He Refuses to Pray Inside,fake,0.8406
2025-11-30T09:01:17.431464,The BFP has yet to issue a statement on what caused the fire on the third floor of the Senate building this Sunday.,fake,0.8218
2025-11-30T09:01:23.934971,The BFP has yet to issue a statement on what caused the fire on the third floor of the Senate building this Sunday.,fake,0.8218
2025-11-30T09:08:40.596533,Former president Duterte died in icc,fake,0.9800
2025-11-30T09:08:47.096163,Former president Duterte died in icc,fake,0.9800
2025-11-30T09:09:11.891847,Michael Jackson is dead,fake,0.9800
2025-11-30T09:09:19.050573,Michael Jackson is dead,fake,0.9800
2025-11-30T09:20:29.906290,Hong Kong ICAC arrests 8 over deadly tower fire! Corruption probe deepens…,fake,0.9500
2025-11-30T09:20:37.201121,Hong Kong ICAC arrests 8 over deadly tower fire! Corruption probe deepens…,fake,0.9500
2025-11-30T09:21:24.087682,"Isa sa mga pinakakilalang isinulat ni Andres Bonifacio ang ""Pag-ibig sa Tinubuang Lupa,"" na humihikayat sa mga Pilipinong makiisa sa pagkamit ng tunay na kalayaan.",fake,0.9500
2025-11-30T09:21:34.302385,"Isa sa mga pinakakilalang isinulat ni Andres Bonifacio ang ""Pag-ibig sa Tinubuang Lupa,"" na humihikayat sa mga Pilipinong makiisa sa pagkamit ng tunay na kalayaan.",fake,0.9500
2025-11-30T09:27:41.257723,Protesters were surprised that the PNP barred them from setting up their stage at Rizal Park despite their coordination with the Manila City Hall and the MMDA.,fake,0.9500
2025-11-30T09:27:54.966474,Protesters were surprised that the PNP barred them from setting up their stage at Rizal Park despite their coordination with the Manila City Hall and the MMDA.,fake,0.9500
2025-11-30T09:31:07.457248,Protesters were surprised that the PNP barred them from setting up their stage at Rizal Park despite their coordination with the Manila City Hall and the MMDA.,fake,0.9500
2025-11-30T09:31:20.999013,Protesters were surprised that the PNP barred them from setting up their stage at Rizal Park despite their coordination with the Manila City Hall and the MMDA.,fake,0.9500
2025-11-30T09:46:45.684023,"President Ferdinand Marcos Jr. said Andres Bonifacio, who came from a humble beginning, rose to become the Katipunan’s Supremo and showed ""the true heroism that comes from the heart, courage, genuine aspiration, and true love for the country.""",fake,0.8500
2025-11-30T09:46:59.110175,"President Ferdinand Marcos Jr. said Andres Bonifacio, who came from a humble beginning, rose to become the Katipunan’s Supremo and showed ""the true heroism that comes from the heart, courage, genuine aspiration, and true love for the country.""",fake,0.8500
2025-11-30T11:19:20.332491,"“PEACE TO ALL MANKIND..”

Ito ang mensahe ni DILG Secretary Jonvic Remulla sa mga nakiisa sa isinagawang kilos protesta ng iba-ibang grupo sa Metro Manila ngayong Linggo, Nobyembre 30.

Personal na nagpunta si Remulla sa bahagi ng C.M. Recto Avenue sa Maynila para samahan ang mga pulis na naka-deploy sa lugar.",fake,0.8224
2025-11-30T11:19:43.292835,"“PEACE TO ALL MANKIND..”

Ito ang mensahe ni DILG Secretary Jonvic Remulla sa mga nakiisa sa isinagawang kilos protesta ng iba-ibang grupo sa Metro Manila ngayong Linggo, Nobyembre 30.

Personal na nagpunta si Remulla sa bahagi ng C.M. Recto Avenue sa Maynila para samahan ang mga pulis na naka-deploy sa lugar.",fake,0.8224
2025-11-30T11:24:22.056514,Duterte is found dead in icc,fake,0.9800
2025-11-30T11:24:36.378410,Duterte is found dead in icc,fake,0.9800
2025-11-30T11:36:39.869094,"“PEACE TO ALL MANKIND..”

Ito ang mensahe ni DILG Secretary Jonvic Remulla sa mga nakiisa sa isinagawang kilos protesta ng iba-ibang grupo sa Metro Manila ngayong Linggo, Nobyembre 30.

Personal na nagpunta si Remulla sa bahagi ng C.M. Recto Avenue sa Maynila para samahan ang mga pulis na naka-deploy sa lugar.

“Generally peaceful” ang mga isinagawang protesta sa Metro Manila, ayon sa kalihim. | via Jessie Cruzat, ABS-CBN News",fake,0.7537
2025-11-30T11:37:02.823002,"“PEACE TO ALL MANKIND..”

Ito ang mensahe ni DILG Secretary Jonvic Remulla sa mga nakiisa sa isinagawang kilos protesta ng iba-ibang grupo sa Metro Manila ngayong Linggo, Nobyembre 30.

Personal na nagpunta si Remulla sa bahagi ng C.M. Recto Avenue sa Maynila para samahan ang mga pulis na naka-deploy sa lugar.

“Generally peaceful” ang mga isinagawang protesta sa Metro Manila, ayon sa kalihim. | via Jessie Cruzat, ABS-CBN News",fake,0.7537
2025-11-30T11:44:56.097544,Duterte is dead,fake,0.9800
2025-11-30T11:45:10.527948,Duterte is dead,fake,0.9800
2025-11-30T11:49:32.776399,Marcos is the President,fake,0.9800
2025-11-30T11:49:46.184983,Marcos is the President,fake,0.9800
2025-11-30T11:51:19.174449,President Marcos is a drug user,fake,0.9800
2025-11-30T11:51:32.890591,President Marcos is a drug user,fake,0.9800
2025-11-30T11:54:59.675866,Duterte is alive,fake,0.9800
2025-11-30T11:55:12.783183,Duterte is alive,fake,0.9800
2025-11-30T12:07:00.302521,Duterte is alive,fake,0.9800
2025-11-30T12:07:14.369840,Duterte is alive,fake,0.9800
2025-11-30T12:15:47.553354,Michael Jackseon is dead.,fake,0.9800
2025-11-30T12:16:03.284781,Michael Jackseon is dead.,fake,0.9800
2025-11-30T12:25:36.851141,Michael Jackson is dead.,fake,0.9800
2025-11-30T12:25:46.054152,Michael Jackson is dead.,fake,0.9800
2025-11-30T12:26:16.878546,Michael Jackson is alive.,fake,0.9800
2025-11-30T12:26:24.051892,Michael Jackson is alive.,fake,0.9800
2025-11-30T12:28:40.763694,Michael Jackson died in June 2009,fake,0.9800
2025-11-30T12:28:47.701779,Michael Jackson died in June 2009,fake,0.9800
2025-11-30T12:34:08.561453,Former President Rodrigo Duterte is alive,fake,0.8910
2025-11-30T12:34:15.449653,Former President Rodrigo Duterte is alive,fake,0.8910
2025-11-30T12:46:12.858921,Michael Jackson died in June 2009,fake,0.9800
2025-11-30T12:46:22.355372,Michael Jackson died in June 2009,fake,0.9800
2025-11-30T12:50:02.006749,"[As of 8 a.m., Nov. 30] Isa-isa nang umaalis ang mga fire truck na rumesponde sa sunog na sumiklab sa Senate Building sa Pasay City. Mag-aalas 8 ng umaga nakontrol ang sunog habang mag-aalas-8:30 ng umaga tuluyang naapula ang apoy.

Ayon kay Fire Marshal Gladwin So, isang fire volunteer, nasa ikatlong palapag ng Senate Building ang sunog.

Hindi pa nagbibigay ng pahayag ang BFP-Pasay ukol sa sanhi at kung ano-ano ang mga naapektuhan ng sunog sa gusali. | via Eon Sanchez, ABS-CBN News",fake,0.8421
2025-11-30T12:50:20.167136,"[As of 8 a.m., Nov. 30] Isa-isa nang umaalis ang mga fire truck na rumesponde sa sunog na sumiklab sa Senate Building sa Pasay City. Mag-aalas 8 ng umaga nakontrol ang sunog habang mag-aalas-8:30 ng umaga tuluyang naapula ang apoy.

Ayon kay Fire Marshal Gladwin So, isang fire volunteer, nasa ikatlong palapag ng Senate Building ang sunog.

Hindi pa nagbibigay ng pahayag ang BFP-Pasay ukol sa sanhi at kung ano-ano ang mga naapektuhan ng sunog sa gusali. | via Eon Sanchez, ABS-CBN News",fake,0.8421
2025-11-30T12:55:39.823791,Duterte is alive,fake,0.9550
2025-11-30T12:55:52.014457,Duterte is alive,fake,0.9550
2025-11-30T12:56:34.114490,"The United States will place all asylum decisions on hold, affecting 19 countries, following an incident in which an Afghan national allegedly shot two National Guard members, resulting in one fatality.",fake,0.8579
2025-11-30T12:56:45.806972,"The United States will place all asylum decisions on hold, affecting 19 countries, following an incident in which an Afghan national allegedly shot two National Guard members, resulting in one fatality.",fake,0.8579
2025-11-30T13:05:31.914862,Former presisdent duterte is dead,fake,0.9800
2025-11-30T13:05:49.331336,Former presisdent duterte is dead,fake,0.9800
2025-11-30T13:06:38.573832,Sara Duterte is a Vice Presindent,fake,0.9800
2025-11-30T13:06:49.334380,Sara Duterte is a Vice Presindent,fake,0.9800
2025-11-30T13:07:38.632092,Sara Duterte not replacing Marcos as president following flood control protests,fake,0.9800
2025-11-30T13:07:47.911332,Sara Duterte not replacing Marcos as president following flood control protests,fake,0.9800
2025-12-01T06:55:36.749986,Pope Francis endorses Donald Trump for president.,real,0.0200
2025-12-01T06:56:40.999431,Pope Francis endorses Donald Trump for president.,real,0.0200
2025-12-01T06:56:57.428540,The Eiffel Tower is located in Paris.,fake,0.4881
2025-12-01T06:57:06.089913,The Eiffel Tower is located in Paris.,fake,0.4881
2025-12-01T07:11:55.608752,Pope Francis endorses Donald Trump for president.,fake,0.0200
2025-12-01T07:12:03.349585,Pope Francis endorses Donald Trump for president.,fake,0.0200
2025-12-01T07:13:21.643636,The Eiffel Tower is located in Paris.,check_needed,0.4881
2025-12-01T07:13:29.099181,The Eiffel Tower is located in Paris.,check_needed,0.4881
2025-12-01T07:26:19.274917,Pope Francis endorses Donald Trump for president.,fake,0.0200
2025-12-01T07:26:27.853539,Pope Francis endorses Donald Trump for president.,fake,0.0200
2025-12-01T07:27:08.634361,The Eiffel Tower is located in Paris.,real,0.4881
2025-12-01T07:30:08.344413,The Eiffel Tower is located in Paris.,real,0.4881
2025-12-01T07:30:22.575321,NASA confirms the sun will explode next week.,real,0.0548
2025-12-01T07:31:54.066095,NASA confirms the sun will explode next week.,real,0.0548
2025-12-01T07:32:43.322616,The Philippines is located in Southeast Asia.,real,0.4281
2025-12-01T07:41:01.568380,The Philippines is located in Southeast Asia.,real,0.4281
2025-12-01T07:58:16.782772,Former president Rodrigo Duterte died in icc,fake,0.9800
2025-12-01T07:58:24.675336,Former president Rodrigo Duterte died in icc,fake,0.9800
2025-12-01T07:59:06.266328,mindanao has no internet,real,0.2647
2025-12-01T07:59:24.458552,mindanao has no internet,real,0.2647
2025-12-01T08:00:01.526323,mindanao philippines has no inteernet and waters,real,0.1653
2025-12-01T08:00:15.964545,mindanao philippines has no inteernet and waters,real,0.1653
2025-12-01T08:01:17.870208,"The death toll from the Hong Kong fire has risen to 146, after authorities said 18 more human remains were found following the huge blaze at the eight-apartment Wang Fuk Court estate.⁠",real,0.0883
2025-12-01T08:01:47.453390,"The death toll from the Hong Kong fire has risen to 146, after authorities said 18 more human remains were found following the huge blaze at the eight-apartment Wang Fuk Court estate.⁠",real,0.0883
2025-12-01T08:02:08.063838,"Kanselado na ang pasaporte ni dating Rep. Zaldy Co na pinaniniwalaang nasa Portugal, ayon sa DILG.",real,0.1822
2025-12-01T08:02:29.388605,"Kanselado na ang pasaporte ni dating Rep. Zaldy Co na pinaniniwalaang nasa Portugal, ayon sa DILG.",real,0.1822
2025-12-01T08:02:54.510402,"In a rare and astonishing medical event, a 19-year-old woman from Brazil gave birth to twin boys who each have a different biological father — a phenomenon known as heteropaternal superfecundation. Doctors confirmed through DNA testing that while both babies share the same mother, they were conceived by two different men after the woman reportedly had intercourse with both within the same 24-hour period. Medical experts describe this as an extremely rare occurrence, estimated to happen in only one in a million twin births, highlighting a fascinating and little-known aspect of human reproduction.",real,0.0778
2025-12-01T08:03:15.275746,"In a rare and astonishing medical event, a 19-year-old woman from Brazil gave birth to twin boys who each have a different biological father — a phenomenon known as heteropaternal superfecundation. Doctors confirmed through DNA testing that while both babies share the same mother, they were conceived by two different men after the woman reportedly had intercourse with both within the same 24-hour period. Medical experts describe this as an extremely rare occurrence, estimated to happen in only one in a million twin births, highlighting a fascinating and little-known aspect of human reproduction.",real,0.0778
2025-12-01T08:06:35.756569,facebook app in banned due to private content,real,0.1740
2025-12-01T08:06:59.029691,facebook app in banned due to private content,real,0.1740
2025-12-01T08:07:52.080910,"hgdgdkgc5edtgvuijyh bjyujuk,stseikstjvc gcctydrdesbgh is a word",real,0.6621
